C5B-NO2       330.000    1.413  0  high # dft/6-31g* empfc
C5B-NP        300.000    1.481  0  high # dft/6-31g* empfc
C5B-OH        470.000    1.367  0  high # dft/6-31g* empfc
C5B-OS        480.000    1.345  0  high # dft/6-31g* empfc
C5B-SY        240.000    1.758  0  high # dft/6-31g* empfc
C5BB-CA       330.000    1.454  1  high # dft/6-31g* empfc
C5BC-CDX      330.000    1.460  0  high # dft/6-31g* empfc
C5BC-SM       275.000    1.728  0  high # mmff  empfc
C5BC-SY       250.000    1.751  0  high # dft/6-31g* empfc
C5M-HA        380.000    1.080  0  high # mmff  empfc
C5M-N5M       515.000    1.339  0  high # dft/6-31g* empfc
C5X-CN56      485.000    1.374  0  high # mmff  empfc
C5X-CT        295.000    1.488  0  high # dft/6-31g* empfc
C5X-N5P       455.000    1.369  0  high # dft/6-31g* empfc
C5X-NA        450.000    1.366  0  high # dft/6-31g* empfc
C5X-NAX       490.000    1.346  0  high # mmff  empfc
C7-C7         380.000    1.430  0  high # mmff 2 occ  empfc
C7-HA         375.000    1.083  0  high # mmff  empfc
CA-CA         375.000    1.464  1  high # mmff  empfc
CA-CAB        355.000    1.449  0  high # mmff 1 occ  empfc
CA-CB         475.000    1.379  0  high # mmff  empfc
CA-CD         305.000    1.466  0  high # dft/6-31g* empfc
CA-CDX        295.000    1.476  0  high # dft/6-31g* empfc
CA-CG         335.000    1.452  0  high # dft/6-31g* empfc
CA-CHZ        315.000    1.457  0  high # dft/6-31g* empfc
CA-CM         320.000    1.460  0  high # dft/6-31g* empfc
CA-CN         485.000    1.374  0  high # mmff  empfc
CA-CN56       420.000    1.407  0  high # dft/6-31g* empfc
CA-CO4        310.000    1.470  0  high # dft/6-31g* empfc
CA-CQ         315.000    1.453  1  high # dft/6-31g* empfc
CA-CR3        490.000    1.398  0  high # dft/6-31g* empfc
CA-CRA        345.000    1.448  1  high # dft/6-31g* empfc
CA-N          360.000    1.404  0  high # dft/6-31g* empfc
CA-N56P       410.000    1.386  0  high # mmff  empfc
CA-N5A        500.000    1.337  0  high # dft/6-31g* empfc
CA-NA         370.000    1.401  1  high # dft/6-31g* empfc
CA-NA6        390.000    1.398  0  high # mmff  empfc
CA-NAB        400.000    1.393  0  high # mmff  empfc
CA-NAP        485.000    1.342  0  high # dft/6-31g* empfc
CRA-NAP       355.000    1.415  1  high # dft/6-31g* empfc
CA-NAX        475.000    1.352  0  high # mmff  empfc
CA-NC         520.000    1.333  0  high # mmff 8 occ  empfc
CA-NC56       430.000    1.375  0  high # mmff 1 occ  empfc
CA-NI         400.000    1.385  0  high # dft/6-31g* empfc
CA-NM         515.000    1.335  0  high # mmff  empfc
NI-NM         515.000    1.422  0  high # WD guess
NO-NM         515.000    1.422  0  high # WD guess
NP-NM         515.000    1.422  0  high # WD guess
NT-NM         515.000    1.422  0  high # WD guess
CA-NN         370.000    1.400  0  high # dft/6-31g* empfc
CA-NP         270.000    1.498  0  high # dft/6-31g* empfc
CA-NP56       410.000    1.386  0  high # mmff 1 occ ab initio r0  empfc
CA-NR3        440.000    1.370  0  high # mmff  empfc
CA-NS         345.000    1.428  0  high # mmff  empfc
CA-NT         360.000    1.406  0  high # dft/6-31g* empfc
CA-NX         385.000    1.399  0  high # dft/6-31g* empfc
CA-NZA        400.000    1.393  0  high # mmff  empfc
CA-P2         190.000    1.847  0  high # dft/6-31g* empfc
CA-P3         155.000    1.806  0  high # xray empfc
CM-P3         155.000    1.806  0  high # xray empfc
CA-SM         275.000    1.728  0  high # mmff  empfc
CA-SY         225.000    1.779  0  high # dft/6-31g* empfc
CA-Si         175.000    1.879  0  high # dft/6-31g* empfc
CAA-CAB       500.000    1.367  0  high # dft/6-31g* empfc
CAA-CN56      425.000    1.408  0  high # dft/6-31g* empfc
CAA-HA        385.000    1.085  0  high # dft/6-31g* empfc
CAA-N56P      455.000    1.361  0  high # mmff  empfc
CAA-NA6       440.000    1.370  0  high # mmff  empfc
CAA-NAB       620.000    1.291  0  high # dft/6-31g* empfc
CAA-NC56      475.000    1.352  0  high # dft/6-31g* empfc
CAA-NP56      440.000    1.370  0  high # mmff ab initio r0  empfc
CAB-CAB       420.000    1.406  0  high # dft/6-31g* empfc
CAB-HA        385.000    1.085  0  high # dft/6-31g* empfc
CAB-NAA       555.000    1.319  0  high # dft/6-31g* empfc
CAB-NAB       455.000    1.363  0  high # dft/6-31g* empfc
CAB-NE        440.000    1.370  0  high # mmff  empfc
CB-CB         400.000    1.418  0  high # mmff  empfc
CB-N5A        515.000    1.335  0  high # mmff  empfc
CB-N5B        440.000    1.369  0  high # mmff  empfc
CB-NB         500.000    1.340  0  high # mmff  empfc
CD-CM         320.000    1.464  0  high # dft/6-31g* empfc
CD-CT         270.000    1.508  0  high # dft/6-31g* empfc
CD-HC         370.000    1.093  0  high # dft/6-31g* empfc
CD-OM         795.000    1.237  0  high # mmff  empfc
CD-PM         300.000    1.710  0  high # mmff  empfc
CDX-CQ        285.000    1.483  0  high # dft/6-31g* empfc
CDX-CRA       330.000    1.464  0  high # dft/6-31g* empfc
CDX-HC        370.000    1.091  0  high # dft/6-31g* empfc
CDX-NE        445.000    1.380  0  high # dft/6-31g* empfc
CDX-NI        630.000    1.388  0  high # mmff  empfc
CDX-NI        650.000    1.285  1  high # dft/6-31g* empfc
CDZ-CT        295.000    1.492  0  high # mmff  empfc
CDZ-NZC       600.000    1.305  0  high # dft/6-31g* empfc
CG-CT         290.000    1.488  0  high # dft/6-31g* empfc
